Dataset,Age,sex,PLT,MPV,Bodyweight,BMD,BMC,PctFat
Graubert1,9,f,210,,,,,
Graubert1,9,f,621,,,,,
Graubert1,9,m,827,,,,,
Graubert1,9,m,693,,,,,
Graubert1,9,m,488,,,,,
Graubert1,9,m,571,,,,,
Graubert1,9,m,618,,,,,
Graubert1,9,m,701,,,,,
Graubert1,9,m,802,,,,,
Graubert1,9,m,587,,,,,
Graubert1,9,m,721,,,,,
Graubert1,9,m,700,,,,,
Graubert1,9,m,771,,,,,
Graubert1,9,m,641,,,,,
Graubert1,9,m,816,,,,,
HMDPpheno5,16,m,228,6,,,,
HMDPpheno5,16,m,128,5.8,,,,
HMDPpheno5,16,m,59,5.7,,,,
Jaxpheno4,8,f,489,5.4,,,,
Jaxpheno4,8,f,586,5.7,,,,
Jaxpheno4,8,f,713,6.9,,,,
Jaxpheno4,8,f,713,6.9,,,,
Jaxpheno4,8,f,813,5.6,,,,
Jaxpheno4,8,f,849,6.7,,,,
Jaxpheno4,8,f,849,6.7,,,,
Jaxpheno4,8,f,873,6.6,,,,
Jaxpheno4,8,f,884,5.8,,,,
Jaxpheno4,8,f,890,6.5,,,,
Jaxpheno4,8,f,894,7.3,,,,
Jaxpheno4,8,f,894,7.3,,,,
Jaxpheno4,8,f,912,6.3,,,,
Jaxpheno4,8,m,913,7.8,,,,
Jaxpheno4,8,f,914,6.8,,,,
Jaxpheno4,8,m,933,5.8,,,,
Jaxpheno4,8,f,935,6.1,,,,
Jaxpheno4,8,f,944,6.3,,,,
Jaxpheno4,8,f,948,6.2,,,,
Jaxpheno4,8,f,956,6.8,,,,
Jaxpheno4,8,m,982,6,,,,
Jaxpheno4,8,f,984,6.5,,,,
Jaxpheno4,8,f,990,6.6,,,,
Jaxpheno4,8,m,1001,7.6,,,,
Jaxpheno4,8,f,1011,7.2,,,,
Jaxpheno4,8,f,1011,7.2,,,,
Jaxpheno4,8,m,1020,7.8,,,,
Jaxpheno4,8,m,1020,6.1,,,,
Jaxpheno4,8,f,1023,6.3,,,,
Jaxpheno4,8,f,1024,7,,,,
Jaxpheno4,8,f,1024,7,,,,
Jaxpheno4,8,f,1037,7,,,,
Jaxpheno4,8,f,1037,7,,,,
Jaxpheno4,8,f,1061,6.5,,,,
Jaxpheno4,8,m,1062,5.7,,,,
Jaxpheno4,8,f,1065,7.1,,,,
Jaxpheno4,8,f,1065,7.1,,,,
Jaxpheno4,8,m,1072,7.6,,,,
Jaxpheno4,8,m,1084,6.2,,,,
Jaxpheno4,8,m,1084,7.6,,,,
Jaxpheno4,8,m,1093,6.4,,,,
Jaxpheno4,8,f,1100,7,,,,
Jaxpheno4,8,m,1109,7.7,,,,
Jaxpheno4,8,m,1114,7.9,,,,
Jaxpheno4,8,f,1119,6,,,,
Jaxpheno4,8,m,1124,7.5,,,,
Jaxpheno4,8,m,1128,6.4,,,,
Jaxpheno4,8,f,1133,6.5,,,,
Jaxpheno4,8,m,1148,7.6,,,,
Jaxpheno4,8,m,1149,6.3,,,,
Jaxpheno4,8,f,1160,6.6,,,,
Jaxpheno4,8,m,1165,7.6,,,,
Jaxpheno4,8,f,1168,7.1,,,,
Jaxpheno4,8,f,1168,7.1,,,,
Jaxpheno4,8,m,1173,7.6,,,,
Jaxpheno4,8,m,1183,7.7,,,,
Jaxpheno4,8,m,1188,7.5,,,,
Jaxpheno4,8,m,1191,6.4,,,,
Jaxpheno4,8,f,1195,6.4,,,,
Jaxpheno4,8,m,1212,6.9,,,,
Jaxpheno4,8,m,1219,6.5,,,,
Jaxpheno4,8,m,1222,7.4,,,,
Jaxpheno4,8,f,1233,6.3,,,,
Jaxpheno4,8,m,1256,7.5,,,,
Jaxpheno4,8,m,1264,6.1,,,,
Jaxpheno4,8,m,1267,6.6,,,,
Jaxpheno4,8,m,1278,7.2,,,,
Jaxpheno4,8,m,1280,6.3,,,,
Jaxpheno4,8,m,1281,7.4,,,,
Jaxpheno4,8,m,1303,6.4,,,,
Jaxpheno4,8,f,1336,7.2,,,,
Jaxpheno4,8,f,1336,7.2,,,,
Jaxpheno4,8,m,1341,7.1,,,,
Jaxpheno4,8,m,1495,7.3,,,,
Jaxpheno4,8,f,1733,6.9,,,,
Jaxpheno4,8,f,1733,6.9,,,,
Jaxpheno4,16,f,1017,6.4,,,,
Jaxpheno4,16,f,1129,7.2,,,,
Jaxpheno4,16,f,1028,6.4,,,,
Jaxpheno4,16,f,1228,5.9,,,,
Jaxpheno4,16,f,1022,7.2,,,,
Jaxpheno4,16,f,1157,6,,,,
Jaxpheno4,16,f,967,6.5,,,,
Jaxpheno4,16,f,1177,7.2,,,,
Jaxpheno4,16,f,924,6.2,,,,
Jaxpheno4,16,f,1230,6.5,,,,
Jaxpheno4,16,f,1191,6.2,,,,
Jaxpheno4,16,f,1079,7.1,,,,
Jaxpheno4,16,f,1202,6.2,,,,
Jaxpheno4,16,f,1279,6.1,,,,
Jaxpheno4,16,f,995,6.2,,,,
Jaxpheno4,16,f,1001,7.4,,,,
Jaxpheno4,16,f,1013,6.4,,,,
Jaxpheno4,16,f,1151,6.4,,,,
Jaxpheno4,16,f,1116,6.3,,,,
Jaxpheno4,16,f,1019,7.1,,,,
Jaxpheno4,16,f,1201,6.4,,,,
Jaxpheno4,16,f,998,6.4,,,,
Jaxpheno4,16,f,1023,6,,,,
Jaxpheno4,16,f,1098,6.4,,,,
Jaxpheno4,16,f,1164,7.1,,,,
Jaxpheno4,16,f,1063,6.2,,,,
Jaxpheno4,16,f,1089,7.6,,,,
Jaxpheno4,16,f,1039,6.4,,,,
Jaxpheno4,16,f,1083,7.1,,,,
Jaxpheno4,16,f,1016,6.5,,,,
Jaxpheno4,16,f,1057,7,,,,
Jaxpheno4,16,f,999,6.3,,,,
Jaxpheno4,16,f,1052,6.4,,,,
Jaxpheno4,16,f,1119,6.2,,,,
Jaxpheno4,16,f,1055,7.1,,,,
Jaxpheno4,16,m,1343,6.3,,,,
Jaxpheno4,16,m,1407,6.3,,,,
Jaxpheno4,16,m,1565,6.4,,,,
Jaxpheno4,16,m,1566,6.2,,,,
Jaxpheno4,16,m,1283,5.9,,,,
Jaxpheno4,16,m,1311,6.4,,,,
Jaxpheno4,16,m,1427,6.3,,,,
Jaxpheno4,16,m,1362,6.4,,,,
Jaxpheno4,16,m,1195,6.8,,,,
Jaxpheno4,16,m,1377,6.6,,,,
Jaxpheno4,16,m,1222,6.6,,,,
Jaxpheno4,16,m,1425,6,,,,
Jaxpheno4,16,m,1284,6.7,,,,
Jaxpheno4,16,m,1287,6.4,,,,
Jaxpheno4,16,m,1418,6.5,,,,
Jaxpheno4,16,m,1235,6.3,,,,
Jaxpheno4,16,m,1237,6.4,,,,
Jaxpheno4,16,m,1461,6.6,,,,
Jaxpheno4,16,m,1224,6.5,,,,
Jaxpheno4,16,m,1533,6.2,,,,
Jaxpheno4,16,m,749,6.5,,,,
Jaxpheno4,16,m,1035,6.6,,,,
Jaxpheno4,16,m,1333,6.8,,,,
Jaxpheno4,16,m,1358,6.6,,,,
Jaxpheno4,16,m,1208,6.3,,,,
Jaxpheno4,16,m,1071,6.6,,,,
Jaxpheno4,16,m,1342,6.2,,,,
Jaxpheno4,16,m,1638,6.4,,,,
Jaxpheno4,16,m,1326,6.3,,,,
Jaxpheno4,16,m,1072,6.4,,,,
Stahl1,7,f,585,5.8,,,,
Stahl1,7,f,599,5.9,,,,
Stahl1,7,f,628,5.9,,,,
Stahl1,7,f,593,5.9,,,,
Stahl1,7,f,617,5.9,,,,
Stahl1,7,f,588,6.2,,,,
Stahl1,7,f,571,5.9,,,,
Stahl1,7,f,612,6,,,,
Stahl1,7,f,606,5.9,,,,
Stahl1,6,f,624,6,,,,
Stahl1,6,f,542,6,,,,
Stahl1,7,f,643,6,,,,
Stahl1,7,f,587,5.9,,,,
Stahl1,7,f,596,5.9,,,,
Stahl1,7,f,534,6.1,,,,
Stahl1,7,f,587,6.1,,,,
Stahl1,10,f,454,6,,,,
Stahl1,9,f,613,5.8,,,,
Stahl1,7,m,737,5.9,,,,
Stahl1,7,m,726,5.7,,,,
Stahl1,7,m,810,5.9,,,,
Stahl1,7,m,781,6,,,,
Stahl1,7,m,828,6,,,,
Stahl1,7,m,786,6,,,,
Stahl1,7,m,800,5.9,,,,
Stahl1,7,m,814,5.9,,,,
Stahl1,7,m,804,6,,,,
Stahl1,7,m,725,5.9,,,,
Stahl1,7,m,829,6,,,,
Stahl1,7,m,804,6.1,,,,
Stahl1,7,m,794,5.8,,,,
Stahl1,7,m,736,5.7,,,,
Stahl1,7,m,733,5.8,,,,
Stahl1,7,m,656,5.8,,,,
Stahl1,10,m,685,5.8,,,,
Stahl1,10,m,743,5.9,,,,
Stahl1,9,m,699,5.8,,,,
Stahl1,9,m,819,5.7,,,,
Stahl1,9,m,767,5.9,,,,
Peters1,10,f,1420,8.5,,,,
Peters1,10,f,1270,5.9,,,,
Peters1,10,f,937,4,,,,
Peters1,10,f,947,3.9,,,,
Peters1,10,f,843,4,,,,
Peters1,10,f,1060,9,,,,
Peters1,10,f,1530,8.7,,,,
Peters1,10,f,1250,12.1,,,,
Peters1,10,f,1250,5.1,,,,
Peters1,10,f,1000,7.7,,,,
Peters1,10,f,1290,8.2,,,,
Peters1,10,m,1250,10.4,,,,
Peters1,10,m,585,6.9,,,,
Peters1,10,m,1760,6.2,,,,
Peters1,10,m,1610,6.1,,,,
Peters1,10,m,1340,6.4,,,,
Peters1,10,m,1780,6.2,,,,
Peters1,10,m,968,6.8,,,,
Peters1,10,m,1400,6.3,,,,
Peters1,10,m,1610,7,,,,
Peters1,10,m,1300,8.8,,,,
Peters1,10,m,500,6.6,,,,
Peters3,7.4,f,1144,19.3,,,,
Peters3,7.4,f,1079,12,,,,
Peters3,7.1,f,766,7.9,,,,
Peters3,7.1,f,934,7.4,,,,
Peters3,7.1,f,937,5.1,,,,
Peters3,7.1,m,1113,9.1,,,,
Peters3,7.1,m,1192,4.4,,,,
Peters3,7.1,m,972,6.9,,,,
Peters3,7.1,m,1059,4.7,,,,
Peters3,7.1,m,1046,5.9,,,,
Peters3,9,f,818,5.6,,,,
Peters3,9,f,872,4.5,,,,
Peters3,9,f,988,9.9,,,,
Peters3,9,f,1011,5.9,,,,
Peters3,9.1,m,982,4.2,,,,
Peters3,9.1,m,930,4.5,,,,
Peters3,9.1,m,860,5.3,,,,
Peters3,9.1,m,1133,11.4,,,,
Peters3,9.1,m,905,4.4,,,,
Peters3,7.4,m,1036,4.7,,,,
Peters3,7.4,m,1077,4.8,,,,
Peters3,7.4,m,1031,4.2,,,,
Peters3,7.4,m,1192,4.5,,,,
Peters3,7.4,m,926,4.1,,,,
Peters3,8.4,f,1098,4.3,,,,
Peters3,8.4,f,1055,4.2,,,,
Peters3,8.4,f,972,4.3,,,,
Peters3,8.4,f,891,4.7,,,,
Peters3,8.4,f,794,4.2,,,,
Peters3,8.4,f,910,4.2,,,,
Peters3,6.6,m,1188,4.4,,,,
Peters3,6.6,m,1168,4.7,,,,
Peters3,6.6,m,1244,4.2,,,,
Peters3,6.6,m,1023,4.5,,,,
Peters3,6.6,m,1354,4.2,,,,
Peters3,6.7,m,1247,4.3,,,,
Peters3,6.7,m,1087,4.3,,,,
Peters3,6.7,m,1134,4.3,,,,
Peters3,6.7,m,1225,4.2,,,,
Peters3,6.7,m,1137,4.4,,,,
Peters3,6.7,m,950,4.7,,,,
Peters3,6.7,m,865,4.2,,,,
Peters3,6.7,m,955,4.2,,,,
Peters3,6.7,m,1023,4.2,,,,
Peters3,6.7,m,946,4.5,,,,
Peters3,7.6,m,1245,4.2,,,,
Peters3,7.1,f,1038,4.2,,,,
Peters3,6.7,f,972,4.4,,,,
Peters3,6.7,f,1017,4.3,,,,
Peters3,6.7,f,1106,4.2,,,,
Peters3,6.7,f,1167,4.3,,,,
Peters3,6.7,f,946,4.4,,,,
Peters3,6.7,f,926,4.5,,,,
Peters3,6.6,f,950,4.2,,,,
Peters3,6.6,f,841,4.4,,,,
Peters3,7.4,f,990,4.5,,,,
Peters3,7.4,f,908,4.4,,,,
Peters3,7.4,f,648,4.4,,,,
Peters3,7.4,f,935,4.3,,,,
Peters3,7.4,f,876,4.3,,,,
Peters3,7.4,f,943,4.6,,,,
Peters3,6.4,f,1188,9.3,,,,
Peters3,6.4,f,928,5,,,,
Peters3,6.4,f,1146,4.5,,,,
Peters3,6.4,f,787,4.4,,,,
Peters3,6.7,f,1102,6.7,,,,
Peters3,6.7,f,1126,4.3,,,,
Peters3,6.7,f,1089,5.9,,,,
Peters3,6.7,f,948,4.4,,,,
Peters3,6.7,f,1131,4.5,,,,
Peters3,7,f,1064,4.4,,,,
Peters3,6.4,f,1114,5.2,,,,
Peters3,7,f,1050,4.4,,,,
Peters3,7,f,996,4.4,,,,
Peters3,7,f,990,7.1,,,,
Peters3,7,m,1043,4.3,,,,
Peters3,7.1,m,1132,4.4,,,,
Peters3,7,m,1211,4.5,,,,
Peters3,7,m,1074,4.9,,,,
Peters3,7,m,1336,4.3,,,,
Peters3,7.1,m,1053,4.7,,,,
Peters3,6.9,m,1105,4.3,,,,
Peters3,7.1,m,1058,4.6,,,,
Peters3,6.9,m,1169,4.1,,,,
Peters3,6.9,m,1338,4.4,,,,
Peters3,7,m,1528,4.7,,,,
Peters3,7,m,1278,4.3,,,,
Peters3,6.4,m,1054,4.4,,,,
Peters3,6.4,m,1075,4.2,,,,
Peters3,6.4,m,1461,5.3,,,,
Peters3,6.4,m,1173,4.2,,,,
Peters3,6.4,m,1218,4.4,,,,
Peters3,6.4,m,1052,4.2,,,,
Peters3,6.4,m,1132,4.4,,,,
Peters3,7.1,m,1228,4.3,,,,
Peters3,7.1,f,737,4.6,,,,
Peters3,7.1,f,924,4.4,,,,
Peters3,7.1,f,763,4.6,,,,
Peters3,7.6,f,814,4.8,,,,
Peters3,7.6,f,820,4.3,,,,
Peters3,7.6,f,840,4.4,,,,
Peters3,7.6,f,722,4.6,,,,
Peters3,7.6,f,985,4.3,,,,
Peters3,7.6,f,722,4.4,,,,
Peters3,7.6,f,793,4.5,,,,
Peters3,7.1,f,892,4.5,,,,
Peters3,7,f,781,4.5,,,,
Peters3,7.1,f,1078,4.6,,,,
Peters3,7.1,f,904,4.5,,,,
Peters3,7.1,f,925,4.4,,,,
Peters3,7.1,f,828,4.3,,,,
Peters3,7,f,901,4.5,,,,
Peters3,7.1,f,856,6.7,,,,
Peters3,7,f,855,4.5,,,,
Peters3,7,f,885,4.3,,,,
Peters3,6.3,m,1245,4.3,,,,
Peters3,7,m,1226,4.5,,,,
Peters3,6.3,m,1184,4.3,,,,
Peters3,6.3,m,1182,4.4,,,,
Peters3,7,m,1417,4.5,,,,
Peters3,6.3,m,1618,4.5,,,,
Peters3,6.4,m,1239,4.3,,,,
Peters3,6.3,m,1269,4.4,,,,
Peters3,6.3,m,1355,4.4,,,,
Peters3,6.3,m,1214,4.4,,,,
Peters3,6.9,m,1185,4.8,,,,
Peters3,6.9,m,1208,5.9,,,,
Peters3,6.9,m,1624,5.5,,,,
Peters3,6.9,m,1156,7.8,,,,
Peters3,6.9,m,1080,5.7,,,,
Peters3,6.9,m,1162,4.5,,,,
Peters3,6.3,m,1119,5.5,,,,
Peters3,6.3,m,1133,5.5,,,,
Peters3,6.3,m,1520,10.9,,,,
Peters3,7.1,f,1021,4.2,,,,
Peters3,7.1,f,807,4.4,,,,
Peters3,7.1,f,1052,4.3,,,,
Peters3,6.3,f,974,4.2,,,,
Peters3,6.6,f,1034,4.3,,,,
Peters3,6.3,f,837,4.3,,,,
Peters3,6.3,f,866,4.4,,,,
Peters3,6.6,f,985,4.3,,,,
Peters3,7.1,m,988,4.4,,,,
Peters3,5.6,m,1080,4.4,,,,
Peters3,5.6,m,1097,4.6,,,,
Peters3,5.6,m,1110,4.6,,,,
Peters3,5.6,m,1094,4.6,,,,
Peters3,5.9,m,1061,4.4,,,,
Peters3,5.9,m,960,4.5,,,,
Peters3,5.4,m,1280,4.5,,,,
Peters3,5.9,m,1155,4.5,,,,
Peters3,5.4,m,1199,4.5,,,,
Peters3,5.4,m,1149,4.4,,,,
Peters3,6.7,f,947,4.5,,,,
Peters3,6.7,f,989,4.7,,,,
Peters3,6.7,f,801,4.7,,,,
Peters3,6.7,f,980,4.7,,,,
Peters3,6.7,f,915,4.7,,,,
Peters3,6.9,f,855,4.8,,,,
Peters3,6.9,f,1016,5.5,,,,
Peters3,6.9,f,858,5,,,,
Peters3,6.9,f,814,4.7,,,,
Peters3,7.1,f,1032,4.7,,,,
Peters3,6.7,m,742,4.8,,,,
Peters3,6.7,m,1191,4.8,,,,
Peters3,6.7,m,1225,5.2,,,,
Peters3,6.6,m,1143,5,,,,
Peters3,6.6,m,990,4.9,,,,
Peters3,7.1,m,1126,4.7,,,,
Peters3,7.1,m,1233,5.4,,,,
Peters3,7.1,m,1108,4.8,,,,
Peters3,7.1,m,1106,5,,,,
Peters3,6.3,m,1071,4.8,,,,
Peters3,6.4,f,985,5.1,,,,
Peters3,6.4,f,1001,5.3,,,,
Peters3,6.6,f,956,4.8,,,,
Peters3,6.9,f,998,4.9,,,,
Peters3,6.6,f,1094,5.1,,,,
Peters3,6.6,f,953,4.8,,,,
Peters3,6.4,f,1004,4.7,,,,
Peters3,6.4,f,989,5,,,,
Peters3,6.9,f,1198,4.8,,,,
Peters3,6.9,m,1114,4.6,,,,
Peters3,6.9,m,1191,4.9,,,,
Peters3,6.9,m,951,4.8,,,,
Peters3,6.3,m,1090,4.7,,,,
Peters3,7,m,1298,5,,,,
Peters3,6.9,m,1230,5,,,,
Peters3,6.9,m,1230,4.6,,,,
Peters3,6.9,m,1177,4.8,,,,
Peters3,6.6,m,1189,4.8,,,,
Peters3,6.6,m,1068,4.8,,,,
Peters3,6.3,f,1016,5.2,,,,
Peters3,6.3,f,1066,5.4,,,,
Peters3,6.3,f,1006,5.1,,,,
Peters3,6.3,f,1058,5,,,,
Peters3,6.3,f,1152,5,,,,
Peters3,6.3,f,1191,5.1,,,,
Peters3,6.3,f,1366,5.1,,,,
Peters3,6.3,f,1161,5.3,,,,
Peters3,6.3,f,1070,5,,,,
Peters3,6.3,f,1287,5.3,,,,
Lake1,7,f,1043,5.9,,,,
Lake1,7,f,1214,5.2,,,,
Lake1,7,f,1248,4.9,,,,
Lake1,7,f,1201,9.1,,,,
Lake1,7,f,1218,6.5,,,,
Lake1,7,f,1205,5.3,,,,
Lake1,7,f,1183,7.6,,,,
Lake1,7,f,1149,4.9,,,,
Lake1,7,m,1234,5,,,,
Lake1,7,m,1091,5,,,,
Lake1,7,m,1087,6.2,,,,
Lake1,7,m,1243,5.2,,,,
Lake1,7,m,1186,5.4,,,,
Lake1,7,m,1294,4.9,,,,
Lake1,7,m,1175,5.1,,,,
Lake1,7,m,1290,4.8,,,,
Svenson3,7,f,995,6.9,,,,
Svenson3,7,f,789,7.1,,,,
Svenson3,7,f,904,6.9,,,,
Svenson3,7,f,915,6.8,,,,
Svenson3,7,f,953,6.6,,,,
Svenson3,7,f,967,6.8,,,,
Svenson3,7,m,910,7.1,,,,
Svenson3,7,m,1225,7.2,,,,
Svenson3,7,m,1003,7.2,,,,
Svenson3,7,m,1139,7.1,,,,
Svenson3,7,m,999,7.3,,,,
