strain,sex,animal_id,ALT,ALP,AST,CK,GLU,HDL,HGB,LDH,LDL,MCH,MCHC,MCV,PLT,RBC,WBC,ALB,amylase,calcium,chloride,CHOL,creatinine,ferritin,FFA,iron,LYMP,MONO,phosphorus,potassium,sodium,TBIL,total,transferrin,TG,BUN,uric_acid
C57BL/6J,f,33289,,204,,128,23.2,,,,,,,,,,,,2206,8.80,118,78.4,0.335,91.8,,,,,4.96,3.80,164,,5.60,145,93.5,76.2,0.800
C57BL/6J,f,33290,,236,,48,70.7,,,,,,,,,,,,2056,8.80,114,62.4,0.364,162,,,,,5.58,4,162,,5.20,139,101,50.2,0.600
C57BL/6J,f,33291,,206,,52,55.6,,,,,,,,,,,,2576,8.80,113,81.5,0.364,84.4,,,,,6.82,3.40,162,,5.60,145,118,71.4,2
C57BL/6J,f,33292,,224,,50,98.5,,,,,,,,,,,,2274,8.80,118,66.3,0.364,119,,,,,5.58,3.60,162,,5.20,141,67.8,72.0,0.200
C57BL/6J,f,33293,,196,,118,82.6,,,,,,,,,,,,2354,8.80,118,70.2,0.380,82.2,,,,,4.96,4,162,,5.40,146,105,77.4,2.40
C57BL/6J,f,33294,,174,,162,129,,,,,,,,,,,,2528,8.80,116,82.3,0.380,134,,,,,4.34,4,162,,5.80,150,133,89.4,1.20
C57BL/6J,f,33295,,190,,194,67.3,,,,,,,,,,,,3076,8.80,118,80.3,0.350,98.2,,,,,4.34,3.80,162,,5.60,146,79.2,68.4,0.600
C57BL/6J,f,33296,,236,,204,92.2,,,,,,,,,,,,2668,8.80,119,80.3,0.380,97.6,,,,,4.96,4.40,164,,5.80,148,94.3,82.8,0.800
C57BL/6J,f,33297,,192,,112,71.3,,,,,,,,,,,,4802,8.80,118,69.4,0.380,112,,,,,4.34,3.60,162,,5.60,149,109,85.8,0.600
C57BL/6J,f,33298,,220,,42,75.4,,,,,,,,,,,,4854,8.80,119,71.4,0.350,91.2,,,,,4.34,3.40,162,,5.40,150,96.1,67.2,0.200
C57BL/6J,f,33299,,106,,138,53.8,,,,,,,,,,,,4540,8.80,126,87.8,0.290,163,,,,,6.20,3.80,170,,5.20,149,51.3,64.8,5.80
C57BL/6J,f,33300,,140,,132,57.2,,,,,,,,,,,,4670,8.80,123,78.4,0.290,130,,,,,6.20,3.60,166,,5.40,157,61.0,50.2,3
C57BL/6J,f,33301,,142,,156,103,,,,,,,,,,,,5156,8.80,121,71.8,0.306,159,,,,,5.58,3.60,164,,5,146,50.1,56.0,3.80
C57BL/6J,f,33302,,196,,70,160,,,,,,,,,,,,3786,8,119,53.4,0.350,93.6,,,,,4.96,3.40,162,,5.20,145,47.7,76.2,1.20
C57BL/6J,f,33303,,144,,96,50.2,,,,,,,,,,,,6258,8.80,122,76.0,0.290,152,,,,,4.96,3.40,166,,5.60,152,49.7,59.4,5.20
C57BL/6J,f,33459,,,,,,,14.8,,,15.3,34.3,44.6,1613,9.71,9.30,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33460,,,,,,,14.5,,,15.3,34.5,44.4,15,9.45,6.50,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33461,,,,,,,14.2,,,15,34.7,43.2,1727,9.47,4.50,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33462,,,,,,,14.6,,,15.3,34.7,44,1701,9.59,6.70,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33463,,,,,,,15.2,,,15.2,34.8,43.6,1695,9.99,7,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33464,,,,,,,14.5,,,15.2,34.1,44.5,1340,9.58,6,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33465,,,,,,,14,,,15.2,34.6,43.9,1655,9.19,4.50,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33466,,,,,,,15.5,,,15.6,35.1,44.4,1540,9.94,10.7,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33467,,,,,,,14.1,,,16.1,34.7,46.3,1021,8.79,7.90,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33468,,,,,,,14,,,15.9,34.4,46.2,1007,8.79,6.10,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33469,,,,,,,15.2,,,16.2,36.4,44.5,1693,9.37,9.80,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33470,,,,,,,14.3,,,15.6,34.9,44.8,1554,9.13,8,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33471,,,,,,,13.8,,,15,35.1,42.8,1620,9.17,5.10,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33472,,,,,,,14.3,,,15.6,35.4,44.2,1553,9.12,7.40,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33473,,,,,,,15.4,,,16,36.3,44.1,1631,9.61,9.90,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33474,,,,,,,15.5,,,15.6,35.6,44,1540,9.91,9.30,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33475,,,,,,,15.2,,,15.8,36,43.9,1598,9.64,8.70,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33476,,,,,,,15.4,,,15.4,35.7,43.1,1150,10,8.90,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33477,,,,,,,14.4,,,15.5,36.4,42.5,1469,9.35,10.2,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33478,,,,,,,14.5,,,15.3,35.2,43.5,1560,9.50,9.70,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33939,,,,,,,15.4,,,15.3,34,45,816,10.1,7,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33940,,,,,,,15.4,,,15.4,32.3,48,584,10,3.10,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33941,,,,,,,16,,,15.8,34.6,46,807,10.1,2.80,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33942,,,,,,,15.3,,,14.7,32.5,45,843,10.4,3.60,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33943,,,,,,,13.7,,,14.9,33,45,788,9.17,3.40,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33944,,,,,,,14.5,,,15.2,33.9,45,796,9.51,4.90,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33945,,,,,,,16.5,,,14.9,33.4,45,879,11.1,5,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33946,,,,,,,15.8,,,14.8,33.2,45,913,10.7,4.10,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33947,,,,,,,15,,,14.8,32.9,45,976,10.1,5,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33948,,,,,,,15,,,14.7,32.7,45,814,10.2,4.10,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33949,,,,,,,14.6,,,14.6,32.6,45,1074,10,2.50,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33950,,,,,,,14.4,,,14.3,32.3,44,969,10.1,2,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33951,,,,,,,13.9,,,14.2,32.1,44,1042,9.75,5.90,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33952,,,,,,,16.1,,,14.7,33.1,44,1025,11,3.40,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33953,,,,,,,14.4,,,14.5,32.5,45,979,9.93,2.30,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,33954,,,,,,,,,,,,,,,,,,,,,,,,,5,0.600,,,,,,,,,
C57BL/6J,f,33955,,,,,,,,,,,,,,,,,,,,,,,,,2.20,0.200,,,,,,,,,
C57BL/6J,f,33956,,,,,,,,,,,,,,,,,,,,,,,,,2,0.200,,,,,,,,,
C57BL/6J,f,33957,,,,,,,,,,,,,,,,,,,,,,,,,2.70,0.200,,,,,,,,,
C57BL/6J,f,33958,,,,,,,,,,,,,,,,,,,,,,,,,2.60,0.100,,,,,,,,,
C57BL/6J,f,33959,,,,,,,,,,,,,,,,,,,,,,,,,3.40,0.300,,,,,,,,,
C57BL/6J,f,33960,,,,,,,,,,,,,,,,,,,,,,,,,3.70,0.300,,,,,,,,,
C57BL/6J,f,33961,,,,,,,,,,,,,,,,,,,,,,,,,3,0.300,,,,,,,,,
C57BL/6J,f,33962,,,,,,,,,,,,,,,,,,,,,,,,,3.60,0.300,,,,,,,,,
C57BL/6J,f,33963,,,,,,,,,,,,,,,,,,,,,,,,,3.10,0.300,,,,,,,,,
C57BL/6J,f,33964,,,,,,,,,,,,,,,,,,,,,,,,,1.30,0.100,,,,,,,,,
C57BL/6J,f,33965,,,,,,,,,,,,,,,,,,,,,,,,,1.10,0.100,,,,,,,,,
C57BL/6J,f,33966,,,,,,,,,,,,,,,,,,,,,,,,,2.40,0.400,,,,,,,,,
C57BL/6J,f,33967,,,,,,,,,,,,,,,,,,,,,,,,,2.40,0.100,,,,,,,,,
C57BL/6J,f,33968,,,,,,,,,,,,,,,,,,,,,,,,,0.900,0.100,,,,,,,,,
C57BL/6J,m,32758,33,,107,868,90,84.6,,527,18.7,,,,,,,3.20,818,9.84,113,112,0.307,,,10.1,,,5.86,4.40,150,1.10,5.30,,134,74.4,
C57BL/6J,m,32759,76,,301,2994,113,91.3,,928,20.3,,,,,,,3.30,887,9.92,114,122,0.307,,1.34,11.7,,,7.78,4.70,149,0.400,6,,112,83.4,
C57BL/6J,m,32760,75,,175,1849,90,85.4,,677,17.9,,,,,,,3.20,863,9.76,113,112,0.307,,1.40,10.3,,,7.04,4.70,147,0.800,5.70,,105,73.8,
C57BL/6J,m,32761,44,,255,2524,88.2,88.9,,790,21.8,,,,,,,3.30,787,9.84,115,119,0.375,,,7.50,,,6.32,5.40,153,0.500,5.80,,135,84.0,
C57BL/6J,m,32762,29,,174,1628,97.2,79.2,,450,15.6,,,,,,,3.10,847,9.64,114,104,0.318,,1.19,9.40,,,6.23,4.70,150,1.40,5.50,,101,72.6,
C57BL/6J,m,32763,24,113,60,356,,,,282,,,,,,,,2.90,790,,116,115,0.295,,,,,,,4.40,152,2.70,,,166,,
C57BL/6J,m,32764,55,127,80,495,86.4,91.3,,398,,,,,,,,3.10,784,,111,121,0.318,,,9.10,,,,4.20,148,2.20,,,193,,
C57BL/6J,m,32765,10,63,37,265,,,,140,,,,,,,,,318,,112,,,,,5.10,,,,4.20,150,1,,,102,,
C57BL/6J,m,32766,22,97,62,423,90,86.2,,256,23.4,,,,,,,2.80,588,9.84,113,115,0.318,,1.27,10.6,,,7.41,4.70,150,2.80,5.30,,152,63.0,
C57BL/6J,m,32767,17,123,45,153,104,88.5,,168,,,,,,,,3.20,1101,,113,115,0.318,,,11.5,,,,3.80,151,2.60,,,170,,
C57BL/6J,m,32768,84,104,391,,72,79.6,,1412,32.0,,,,,,,3.20,734,10.1,112,120,0.261,,,11.5,,,7.13,5.10,150,,5.60,,294,79.2,
C57BL/6J,m,32769,58,108,456,1479,68.4,82.7,,1583,23.4,,,,,,,3.30,1132,9.16,110,128,,,1.96,11.9,,,6.76,6.20,154,,5.30,,254,90.6,
C57BL/6J,m,32770,30,79,50,187,79.2,75.7,,398,26.5,,,,,,,3.10,881,10.4,111,110,0.295,,1.23,11.7,,,6.17,4.20,149,1.40,5.10,,200,70.8,
C57BL/6J,m,32771,21,105,82,602,81,79.6,,465,28.1,,,,,,,3.10,865,9.92,111,116,0.295,,1.40,10.8,,,6.14,4.10,150,0.600,5.10,,225,79.8,
C57BL/6J,m,32772,40,112,214,2030,91.8,81.5,,648,25.4,,,,,,,3.20,686,9.92,112,115,0.307,,1.39,10.1,,,5.83,4.30,151,0.700,5.60,,188,96.6,
C57BL/6J,m,32773,25,179,120,824,99,59.7,,447,23.8,,,,,,,3.20,666,9.60,111,88.9,0.307,,1.36,11.8,,,6.08,4.40,147,0.900,5.50,,162,79.8,
C57BL/6J,m,32774,76,179,560,8530,90,55.8,,1588,24.2,,,,,,,3.20,667,9.56,113,88.1,0.307,,1.32,12.9,,,6.23,5.10,147,,5.70,,166,94.2,
C57BL/6J,m,32775,30,167,158,1420,75.6,57.7,,497,17.9,,,,,,,3.20,915,9.44,119,79.6,0.273,,1.32,11.7,,,5.36,4.50,151,1.10,5.50,,101,64.2,
C57BL/6J,m,32776,51,185,390,5543,64.8,53.4,,1299,17.6,,,,,,,2.90,670,8.56,118,84.6,0.239,,1.56,10.3,,,7.01,5.50,156,,5.40,,196,66.0,
C57BL/6J,m,32777,43,163,155,1508,106,60.5,,553,21.8,,,,,,,3.10,772,8.84,114,92.0,0.239,,1.49,13.4,,,5.43,4.20,154,1.40,6.10,,171,80.4,
C57BL/6J,m,33107,,,,,171,,,,,,,,,,,2.50,,8.68,112,,0.375,,,,,,8.15,8.60,148,,5.49,,,60.0,
C57BL/6J,m,33108,,,,,239,,,,,,,,,,,,,,112,,,,,,,,9.11,8.70,148,,0.890,,,53.4,
C57BL/6J,m,33109,,,,,238,,,,,,,,,,,,,8.76,113,,0.330,,,,,,,9.10,149,,6.10,,,60.6,
C57BL/6J,m,33110,,,,,86.4,,,,,,,,,,,,,,69,,,,,,,,8.12,4.50,,,0.780,,,46.8,
C57BL/6J,m,33111,,,,,80.3,,,,,,,,,,,3.52,,9.08,109,95.5,0.330,,,,,,6.20,9,147,,0.700,,96.1,42.0,
C57BL/6J,m,33112,,,,,94.1,,,,,,,,,,,,,,114,,,,,,,,,9.40,151,,0.960,,,57.6,
C57BL/6J,m,33113,,,,,173,,,,,,,,,,,3.46,,9.12,112,103,0.307,,,,,,9.39,8.20,149,,0.910,,53.4,54.6,
C57BL/6J,m,33114,,,,,154,,,,,,,,,,,3.13,,8.64,111,126,0.341,,,,,,6.82,8.70,147,,0.910,,77.4,54.6,
C57BL/6J,m,33115,,,,,176,,,,,,,,,,,2.71,,8.72,112,76.8,,,,,,,2.57,8.90,149,,0.880,,24.9,52.8,
C57BL/6J,m,33116,,,,,187,,,,,,,,,,,3.21,,7.72,114,60.1,0.341,,,,,,,,148,,5.33,,,73.2,
C57BL/6J,m,33304,,150,,30,82.4,,,,,,,,,,,,2142,8.80,117,19.1,0.394,63.6,,,,,5.58,3.80,166,,5.40,146,144,63.6,3.40
C57BL/6J,m,33305,,148,,26,62.3,,,,,,,,,,,,2184,8.80,112,19.1,0.380,47.2,,,,,4.96,3.40,162,,5.40,143,129,57.0,0.600
C57BL/6J,m,33306,,176,,136,69.8,,,,,,,,,,,,2902,8.80,119,19.1,0.380,86.8,,,,,8.06,4,168,,5.40,149,138,74.4,0.600
C57BL/6J,m,33307,,158,,14,48.6,,,,,,,,,,,,2968,9.60,118,19.1,0.410,75,,,,,7.44,4,170,,5.80,137,150,75.0,1.20
C57BL/6J,m,33308,,160,,750,53.6,,,,,,,,,,,,2674,8.80,114,19.1,0.424,60.8,,,,,4.96,3.80,166,,5.60,144,142,82.8,1.20
C57BL/6J,m,33309,,144,,588,63.2,,,,,,,,,,,,2048,8.80,115,19.1,0.455,67.2,,,,,6.20,4.20,164,,5,133,116,79.2,0.200
C57BL/6J,m,33310,,160,,358,33.1,,,,,,,,,,,,2236,8.80,113,19.1,0.410,62.6,,,,,5.58,3.80,164,,5.60,143,139,63.6,2
C57BL/6J,m,33312,,130,,36,28.4,,,,,,,,,,,,3078,9.60,118,19.1,0.319,71.8,,,,,5.58,3.60,164,,5.80,152,209,59.8,0.800
C57BL/6J,m,33313,,138,,966,73.6,,,,,,,,,,,,2768,8.80,120,19.1,0.424,90.4,,,,,6.20,4.20,168,,5.60,145,128,81.0,0.200
C57BL/6J,m,33314,,148,,160,77.6,,,,,,,,,,,,2796,8.80,117,19.1,0.410,69,,,,,6.20,4,164,,5.60,143,169,70.8,2
C57BL/6J,m,33315,,150,,70,81.7,,,,,,,,,,,,2782,9.60,118,19.1,0.410,79.4,,,,,7.44,4.40,166,,5.60,145,187,80.4,2
C57BL/6J,m,33316,,146,,32,83.3,,,,,,,,,,,,2780,8.80,118,19.1,0.364,74.4,,,,,6.82,3.40,166,,5.80,145,222,66.6,2
C57BL/6J,m,33317,,158,,32,85.1,,,,,,,,,,,,2950,9.60,117,19.1,0.394,96.8,,,,,6.82,4,166,,6,152,148,79.8,1.20
C57BL/6J,m,33318,,134,,58,89.3,,,,,,,,,,,,2452,8.80,118,19.1,0.380,66.4,,,,,6.82,3.80,164,,5.60,146,131,74.4,0.800
C57BL/6J,m,33439,,,,,,,14.3,,,14.8,34,43.5,1557,9.69,9.40,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33440,,,,,,,14.8,,,14.9,34.4,43.3,1609,9.89,8.90,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33441,,,,,,,14.9,,,15.3,35.4,43.3,1702,9.71,9.50,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33442,,,,,,,15,,,15.7,35.5,44.1,1600,9.60,9.80,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33443,,,,,,,14.7,,,14.9,34.4,43.3,1532,9.82,7.90,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33444,,,,,,,14.6,,,15.2,34.5,44,1589,9.64,7.40,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33445,,,,,,,15.1,,,15.1,34.7,43.5,1683,9.97,6.30,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33446,,,,,,,14.6,,,14.8,33.8,43.9,1611,9.84,7.50,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33447,,,,,,,15.6,,,15,34.1,43.9,1519,10.4,7.10,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33448,,,,,,,14.3,,,15.4,34.9,44,1653,9.34,6.20,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33449,,,,,,,14.3,,,15,34.8,43,1589,9.56,9.10,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33450,,,,,,,15.3,,,15.1,35.1,43,1610,10.1,7.60,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33451,,,,,,,15,,,14.9,35.2,42.4,1829,10.1,5.20,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33452,,,,,,,14.4,,,15.2,34.7,43.7,1651,9.49,9.10,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33453,,,,,,,15.3,,,15.3,35.4,43.3,1685,9.97,8.30,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33454,,,,,,,15,,,15.1,35.4,42.5,1663,9.93,6.30,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33455,,,,,,,14.6,,,15,34.8,43,1616,9.75,6.30,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33456,,,,,,,14.3,,,15.2,35,43.4,1575,9.41,8.30,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33457,,,,,,,14.4,,,15.5,35.4,43.9,1544,9.27,9.30,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33458,,,,,,,15.1,,,15.3,36,42.5,1443,9.86,7.20,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33969,,,,,,,15.5,,,15,32.1,47,708,10.3,7.10,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33970,,,,,,,15.9,,,15.1,31.9,47,718,10.5,5.20,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33971,,,,,,,15.8,,,14.7,32.4,45,930,10.7,6.80,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33972,,,,,,,16.1,,,14.2,31.6,45,1000,11.3,7.30,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33973,,,,,,,16.6,,,14.8,32.8,45,1013,11.2,7.30,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33974,,,,,,,13.9,,,14.9,32,47,646,9.32,3.80,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33975,,,,,,,15.8,,,14.9,32.7,46,673,10.6,5.40,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33976,,,,,,,12,,,14.8,33.4,44,504,8.09,5.40,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33977,,,,,,,13.9,,,15,33.1,45,1056,9.27,7.60,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33978,,,,,,,15.7,,,14.8,32.8,45,908,10.6,4.90,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33979,,,,,,,16.1,,,14.5,32.5,45,914,11.1,2.80,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33980,,,,,,,14.8,,,14.6,32.7,45,935,10.1,5.70,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33981,,,,,,,18.5,,,19.2,42.5,45,988,9.62,5.70,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33982,,,,,,,15.6,,,14.7,32.7,45,958,10.6,6.60,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33983,,,,,,,15.2,,,14.5,32.3,45,950,10.5,4.90,,,,,,,,,,,,,,,,,,,,
C57BL/6J,m,33984,,,,,,,,,,,,,,,,,,,,,,,,,4.90,0.500,,,,,,,,,
C57BL/6J,m,33985,,,,,,,,,,,,,,,,,,,,,,,,,3.60,0.300,,,,,,,,,
C57BL/6J,m,33986,,,,,,,,,,,,,,,,,,,,,,,,,5,0.500,,,,,,,,,
C57BL/6J,m,33987,,,,,,,,,,,,,,,,,,,,,,,,,5,0.600,,,,,,,,,
C57BL/6J,m,33988,,,,,,,,,,,,,,,,,,,,,,,,,5.70,0.500,,,,,,,,,
C57BL/6J,m,33989,,,,,,,,,,,,,,,,,,,,,,,,,2.60,0.300,,,,,,,,,
C57BL/6J,m,33990,,,,,,,,,,,,,,,,,,,,,,,,,3.90,0.300,,,,,,,,,
C57BL/6J,m,33991,,,,,,,,,,,,,,,,,,,,,,,,,3.60,0.300,,,,,,,,,
C57BL/6J,m,33992,,,,,,,,,,,,,,,,,,,,,,,,,5.30,0.500,,,,,,,,,
C57BL/6J,m,33993,,,,,,,,,,,,,,,,,,,,,,,,,3.40,0.300,,,,,,,,,
C57BL/6J,m,33994,,,,,,,,,,,,,,,,,,,,,,,,,2.10,0.200,,,,,,,,,
C57BL/6J,m,33995,,,,,,,,,,,,,,,,,,,,,,,,,3.90,0.300,,,,,,,,,
C57BL/6J,m,33996,,,,,,,,,,,,,,,,,,,,,,,,,4.20,0.300,,,,,,,,,
C57BL/6J,m,33997,,,,,,,,,,,,,,,,,,,,,,,,,4.70,0.500,,,,,,,,,
C57BL/6J,m,33998,,,,,,,,,,,,,,,,,,,,,,,,,3.80,0.300,,,,,,,,,
